# Gravidade do Havai
# Gerado a partir do modelo EIGEN-6c4
# Baixado de http://icgem.gfz-potsdam.de/ICGEM/
# nlon x nlat = 76 x 76
195.00000 28.00000 0.00000 1674056.64804 0.00000 -5013.00000 979187.17318
195.20000 28.00000 20830.62927 1674056.64804 0.00000 -5111.00000 979188.16032
195.40000 28.00000 41661.25853 1674056.64804 0.00000 -5377.00000 979179.68686
195.60000 28.00000 62491.88780 1674056.64804 0.00000 -5431.00000 979173.14712
195.80000 28.00000 83322.51706 1674056.64804 0.00000 -5212.00000 979181.65689
196.00000 28.00000 104153.14633 1674056.64804 0.00000 -5350.00000 979181.58592
196.20000 28.00000 124983.77560 1674056.64804 0.00000 -5506.00000 979176.30519
196.40000 28.00000 145814.40486 1674056.64804 0.00000 -5518.00000 979173.71359
196.60000 28.00000 166645.03413 1674056.64804 0.00000 -5367.00000 979167.84332
196.80000 28.00000 187475.66339 1674056.64804 0.00000 -5406.00000 979166.50485
197.00000 28.00000 208306.29266 1674056.64804 0.00000 -5413.00000 979168.48100
197.20000 28.00000 229136.92192 1674056.64804 0.00000 -5507.00000 979166.44422
197.40000 28.00000 249967.55119 1674056.64804 0.00000 -5311.00000 979165.60893
197.60000 28.00000 270798.18046 1674056.64804 0.00000 -5141.00000 979156.92853
197.80000 28.00000 291628.80972 1674056.64804 0.00000 -4227.00000 979184.70844
198.00000 28.00000 312459.43899 1674056.64804 0.00000 -3808.00000 979193.89929
198.20000 28.00000 333290.06825 1674056.64804 0.00000 -4563.00000 979158.44517
198.40000 28.00000 354120.69752 1674056.64804 0.00000 -5054.00000 979147.24206
198.60000 28.00000 374951.32679 1674056.64804 0.00000 -5257.00000 979152.21337
198.80000 28.00000 395781.95605 1674056.64804 0.00000 -4048.00000 979192.80048
199.00000 28.00000 416612.58532 1674056.64804 0.00000 -3338.00000 979203.12995
199.20000 28.00000 437443.21458 1674056.64804 0.00000 -4079.00000 979194.27835
199.40000 28.00000 458273.84385 1674056.64804 0.00000 -5085.00000 979173.79501
199.60000 28.00000 479104.47312 1674056.64804 0.00000 -3578.00000 979214.76033
199.80000 28.00000 499935.10238 1674056.64804 0.00000 -3626.00000 979210.12992
200.00000 28.00000 520765.73165 1674056.64804 0.00000 -4168.00000 979190.53992
200.20000 28.00000 541596.36091 1674056.64804 0.00000 -5296.00000 979187.99519
200.40000 28.00000 562426.99018 1674056.64804 0.00000 -5270.00000 979169.53061
200.60000 28.00000 583257.61944 1674056.64804 0.00000 -5052.00000 979173.10030
200.80000 28.00000 604088.24871 1674056.64804 0.00000 -5438.00000 979173.09274
201.00000 28.00000 624918.87798 1674056.64804 0.00000 -5505.00000 979173.89920
201.20000 28.00000 645749.50724 1674056.64804 0.00000 -5558.00000 979171.38473
201.40000 28.00000 666580.13651 1674056.64804 0.00000 -5487.00000 979173.17403
